Symbol,EntryDate,EntryPrice,Quantity,TrackType
RBLBANK,2026-06-11,356.95,28,Paper
BOSCHLTD,2026-06-15,39060.0,1,Paper
DIVISLAB,2026-06-24,6747.0,1,Paper
JYOTICNC,2026-06-24,739.65,13,Paper
NYKAA,2026-06-30,302.05,33,Paper
COFORGE,2026-07-03,1441.9,6,Paper
ETERNAL,2026-07-03,279.7,35,Paper
PAYTM,2026-07-03,1213.4,8,Paper
UNOMINDA,2026-07-06,1126.1,8,Paper
JSL,2026-07-13,716.4,13,Paper
OIL,2026-07-17,429.45,23,Paper
BAJAJ-AUTO,2026-07-22,10403.5,1,Paper
BHEL,2026-07-30,405.15,24,Paper
KOTAKBANK,2026-07-31,389.4,25,Paper
CRISIL,2026-07-31,4448.7,2,Paper
INDIANB,2026-08-07,877.9,11,Paper
PETRONET,2026-08-14,279.3,35,Paper
POLICYBZR,2026-08-17,1741.0,5,Paper
APARINDS,2026-08-17,16691.0,1,Paper
KPRMILL,2026-08-17,1110.0,9,Paper
SUNDARMFIN,2026-08-17,4470.5,2,Paper
DLF,2026-08-18,671.0,14,Paper
CGPOWER,2026-08-21,876.3,11,Paper
JSWINFRA,2026-08-21,329.85,30,Paper
MOTILALOFS,2026-08-21,973.4,10,Paper
IDFCFIRSTB,2026-08-24,86.75,115,Paper
MRF,2026-09-03,132335.0,1,Paper
AXISBANK,2026-09-07,1273.0,7,Paper
TATASTEEL,2026-09-10,188.75,52,Paper
NLCINDIA,2026-09-10,271.55,36,Paper
COALINDIA,2026-09-11,432.0,23,Paper
GVT&D,2026-09-14,4548.1,2,Paper
INDUSTOWER,2026-09-14,388.0,25,Paper
BAJAJHLDNG,2026-09-16,11100.0,1,Paper
PNB,2026-09-18,116.47,85,Paper
