Symbol,Industry,IsBanking
RELIANCE,Oil & Gas Refining & Marketing,False
NIACL,Insurance - Diversified,True
HDFCBANK,Banks - Regional,True
INFY,Information Technology Services,False
BSE,Financial Data & Stock Exchanges,False
POLICYBZR,Insurance Brokers,True
DIXON,Consumer Electronics,False
VOLTAS,"Furnishings, Fixtures & Appliances",False
COFORGE,Information Technology Services,False
TMPV,Auto Manufacturers,False
ETERNAL,Internet Retail,False
TCS,Information Technology Services,False
ICICIBANK,Banks - Regional,True
RVNL,Engineering & Construction,False
TRENT,Apparel Retail,False
MCX,Financial Data & Stock Exchanges,False
VAML,Aluminum,False
GROWW,Capital Markets,False
BHARTIARTL,Telecom Services,False
IDEA,Telecom Services,False
SBIN,Banks - Regional,True
BAJAJ-AUTO,Auto Manufacturers,False
SUZLON,Specialty Industrial Machinery,False
ADANIPOWER,Utilities - Independent Power Producers,False
VEDL,Other Industrial Metals & Mining,False
PAGEIND,Apparel Manufacturing,False
BHEL,Specialty Industrial Machinery,False
M&M,Auto Manufacturers,False
BAJFINANCE,Credit Services,True
ADANIENT,Thermal Coal,False
CUMMINSIND,Specialty Industrial Machinery,False
LT,Engineering & Construction,False
ITCHOTELS,Resorts & Casinos,False
ADANIPORTS,Marine Shipping,False
TATACOMM,Telecom Services,False
ASHOKLEY,Farm & Heavy Construction Machinery,False
EICHERMOT,Auto Manufacturers,False
YESBANK,Banks - Regional,True
BEL,Aerospace & Defense,False
GVT&D,Specialty Industrial Machinery,False
ABCAPITAL,Financial Conglomerates,False
TATACAP,Credit Services,True
WAAREEENER,Solar,False
BDL,Aerospace & Defense,False
LICI,Insurance - Life,True
TMCV,Auto Manufacturers,False
OFSS,Software - Infrastructure,False
MAZDOCK,Aerospace & Defense,False
PERSISTENT,Information Technology Services,False
SWIGGY,Internet Retail,False
LLOYDSME,Steel,False
VBL,Beverages - Non-Alcoholic,False
HCLTECH,Information Technology Services,False
POWERINDIA,Electrical Equipment & Parts,False
VOGL,Other Industrial Metals & Mining,False
SAIL,Steel,False
JIOFIN,Asset Management,True
HAL,Aerospace & Defense,False
CGPOWER,Electrical Equipment & Parts,False
BHARATFORG,Auto Parts,False
TATASTEEL,Steel,False
BAJAJHFL,Mortgage Finance,True
INDHOTEL,Lodging,False
INDIGO,Airlines,False
HINDALCO,Aluminum,False
POWERGRID,Utilities - Regulated Electric,False
ONGC,Oil & Gas Integrated,False
POLYCAB,Electrical Equipment & Parts,False
JUBLFOOD,Restaurants,False
WIPRO,Information Technology Services,False
TECHM,Information Technology Services,False
ITC,Tobacco,False
BLUESTARCO,Building Products & Equipment,False
SCHAEFFLER,Auto Parts,False
AXISBANK,Banks - Regional,True
NYKAA,Internet Retail,False
HINDPETRO,Oil & Gas Refining & Marketing,False
RECLTD,Credit Services,True
NHPC,Utilities - Renewable,False
TATAPOWER,Utilities - Independent Power Producers,False
ADANIGREEN,Utilities - Renewable,False
NATIONALUM,Aluminum,False
COCHINSHIP,Aerospace & Defense,False
MARUTI,Auto Manufacturers,False
BPCL,Oil & Gas Refining & Marketing,False
APARINDS,Electrical Equipment & Parts,False
SOLARINDS,Specialty Chemicals,False
INDUSINDBK,Banks - Regional,True
CANBK,Banks - Regional,True
LGEINDIA,Consumer Electronics,False
MUTHOOTFIN,Credit Services,True
IOC,Oil & Gas Refining & Marketing,False
ATGL,Utilities - Regulated Gas,False
NLCINDIA,Utilities - Regulated Electric,False
KOTAKBANK,Banks - Regional,True
ASIANPAINT,Specialty Chemicals,False
MOTHERSON,Auto Parts,False
BAJAJHLDNG,Asset Management,True
SHRIRAMFIN,Credit Services,True
ICICIPRULI,Insurance - Life,True
PFC,Credit Services,True
HEROMOTOCO,Auto Manufacturers,False
UNIONBANK,Banks - Regional,True
JSWINFRA,Marine Shipping,False
ENRIN,Utilities - Renewable,False
NTPC,Utilities - Regulated Electric,False
IDFCFIRSTB,Banks - Regional,True
ULTRACEMCO,Building Materials,False
CONCOR,Railroads,False
LTM,Information Technology Services,False
KEI,Electrical Equipment & Parts,False
ADANIENSOL,Utilities - Independent Power Producers,False
RADICO,Beverages - Wineries & Distilleries,False
TVSMOTOR,Auto Manufacturers,False
DLF,Real Estate - Development,False
BOSCHLTD,Auto Parts,False
BHARTIHEXA,Telecom Services,False
TITAN,Luxury Goods,False
COALINDIA,Thermal Coal,False
BRITANNIA,Packaged Foods,False
KALYANKJIL,Luxury Goods,False
MARICO,Household & Personal Products,False
HUDCO,Credit Services,True
KPITTECH,Software - Infrastructure,False
PNB,Banks - Regional,True
HDFCLIFE,Insurance - Life,True
MRF,Auto Parts,False
ICICIAMC,Asset Management,True
SRF,Conglomerates,False
TATAELXSI,Software - Application,False
PRESTIGE,Real Estate - Diversified,False
MPHASIS,Information Technology Services,False
AMBUJACEM,Building Materials,False
GICRE,Insurance - Reinsurance,True
FEDERALBNK,Banks - Regional,True
BANKINDIA,Banks - Regional,True
