Symbol,Industry,IsBanking
SYRMA,Electronic Components,False
IFCI,Credit Services,True
BSE,Financial Data & Stock Exchanges,False
PAYTM,Software - Infrastructure,False
NETWEB,Computer Hardware,False
SBIN,Banks - Regional,True
MCX,Financial Data & Stock Exchanges,False
PNBHOUSING,Mortgage Finance,True
NIACL,Insurance - Diversified,True
DATAPATTNS,Aerospace & Defense,False
WELCORP,Steel,False
ATHERENERG,Auto Manufacturers,False
INDUSINDBK,Banks - Regional,True
SHRIRAMFIN,Credit Services,True
TVSMOTOR,Auto Manufacturers,False
SOLARINDS,Specialty Chemicals,False
LT,Engineering & Construction,False
BAJFINANCE,Credit Services,True
CHENNPETRO,Oil & Gas Refining & Marketing,False
REDINGTON,Information Technology Services,False
GRAPHITE,Electrical Equipment & Parts,False
SONACOMS,Auto Parts,False
POWERINDIA,Electrical Equipment & Parts,False
IDEA,Telecom Services,False
HINDALCO,Aluminum,False
BHEL,Specialty Industrial Machinery,False
HINDCOPPER,Copper,False
PFOCUS,Entertainment,False
HAL,Aerospace & Defense,False
CGPOWER,Electrical Equipment & Parts,False
CHOLAFIN,Credit Services,True
FINCABLES,Electrical Equipment & Parts,False
APARINDS,Electrical Equipment & Parts,False
YESBANK,Banks - Regional,True
TITAN,Luxury Goods,False
ADANIENT,Thermal Coal,False
POLYCAB,Electrical Equipment & Parts,False
MAHABANK,Banks - Regional,True
ADANIPOWER,Utilities - Independent Power Producers,False
KIRLOSENG,Specialty Industrial Machinery,False
ADANIENSOL,Utilities - Independent Power Producers,False
GVT&D,Specialty Industrial Machinery,False
JSWSTEEL,Steel,False
IIFL,Credit Services,True
BANKINDIA,Banks - Regional,True
SIEMENS,Specialty Industrial Machinery,False
MARICO,Household & Personal Products,False
HFCL,Communication Equipment,False
ADANIPORTS,Marine Shipping,False
ABB,Specialty Industrial Machinery,False
NAM-INDIA,Asset Management,True
SAIL,Steel,False
HINDZINC,Other Industrial Metals & Mining,False
IDFCFIRSTB,Banks - Regional,True
CUMMINSIND,Specialty Industrial Machinery,False
WELSPUNLIV,Textile Manufacturing,False
NYKAA,Internet Retail,False
OFSS,Software - Infrastructure,False
DELHIVERY,Integrated Freight & Logistics,False
ASIANPAINT,Specialty Chemicals,False
NATIONALUM,Aluminum,False
FLUOROCHEM,Specialty Chemicals,False
MOTHERSON,Auto Parts,False
KEI,Electrical Equipment & Parts,False
PREMIERENE,Solar,False
RBLBANK,Banks - Regional,True
BEML,Conglomerates,False
BAJAJ-AUTO,Auto Manufacturers,False
OBEROIRLTY,Real Estate - Development,False
ADANIGREEN,Utilities - Renewable,False
TEJASNET,Communication Equipment,False
CGCL,Credit Services,True
AEGISLOG,Oil & Gas Refining & Marketing,False
GRASIM,Building Materials,False
EICHERMOT,Auto Manufacturers,False
LTF,Credit Services,True
GMRAIRPORT,Airports & Air Services,False
UNIONBANK,Banks - Regional,True
